label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
57,16964346.0,4370928.0,5403435.0,375227.0,7605089.0,4986195.0,2089216.0,2371035.0,4390119.0,1600857.0,448474.0,563296.0
58,14029375.0,4456411.0,5406577.0,384008.0,8315994.0,6171386.0,1396037.0,3095616.0,4907124.0,1814183.0,1373011.0,1144232.0
59,27501822.0,6566550.0,7579870.0,620457.0,8020687.0,3024468.0,2658155.0,3228467.0,9278584.0,3986270.0,1789715.0,1165635.0
60,24187049.0,6387816.0,7558001.0,386510.0,7579198.0,1460563.0,2498411.0,3176298.0,6680341.0,2738636.0,3134802.0,1354213.0
61,13858552.0,4286079.0,5191191.0,244149.0,4734245.0,1506196.0,1394284.0,1847145.0,2943786.0,1982927.0,935148.0,742265.0
62,20912849.0,6144508.0,7003240.0,533885.0,6338713.0,1758916.0,2263427.0,2632949.0,4992517.0,2704394.0,2401006.0,1196636.0
63,21189531.0,5920119.0,6847784.0,134193.0,6930070.0,1610887.0,2676862.0,2393816.0,5420985.0,3365217.0,4176183.0,854744.0
64,17575430.0,5247457.0,6101759.0,234486.0,7697055.0,987645.0,1854297.0,2218322.0,6225410.0,3280447.0,4326032.0,884510.0
65,24522473.0,6273433.0,7099986.0,563692.0,7103168.0,1959761.0,2560247.0,2772067.0,12084116.0,4062685.0,3775454.0,974466.0
66,23546093.0,6341641.0,7153474.0,590495.0,7226534.0,2603735.0,2483016.0,3429959.0,5250971.0,3051303.0,1146639.0,1238061.0
67,17853201.0,4366468.0,5172864.0,429714.0,4768921.0,905270.0,1644339.0,1885539.0,3312679.0,1821861.0,1199939.0,829022.0
68,18706558.0,5551091.0,6663484.0,529426.0,6447416.0,1430994.0,1981961.0,2917603.0,11293930.0,5612483.0,1759189.0,1178791.0
69,16911480.0,5221181.0,6547389.0,446625.0,5837682.0,1218775.0,2087195.0,1907754.0,4006547.0,2077301.0,2151282.0,1012189.0
70,11317824.0,3772273.0,4485119.0,315869.0,4043661.0,1462635.0,1365667.0,1724903.0,2660675.0,1650668.0,1624131.0,507312.0
71,11327913.0,2907136.0,3387036.0,300108.0,3545737.0,541448.0,1055028.0,1285046.0,2930097.0,1435002.0,1296981.0,612481.0
72,12418898.0,4264158.0,5197095.0,355592.0,5267227.0,998044.0,1436986.0,2137632.0,3545376.0,2147327.0,1855010.0,812646.0
73,24575012.0,6789577.0,7929605.0,636131.0,6934086.0,2215347.0,2586396.0,3524400.0,6726909.0,3023455.0,2684448.0,1152490.0
74,25634635.0,6500857.0,7413548.0,896471.0,7546097.0,1038731.0,2672689.0,2868524.0,10332199.0,5942230.0,1861496.0,869167.0
75,21225319.0,6912770.0,8662982.0,396824.0,8068547.0,1740905.0,2203630.0,3782958.0,5698550.0,4038866.0,6784114.0,1570425.0
76,25389581.0,6766992.0,7838931.0,709364.0,9207333.0,2573259.0,3928662.0,3301139.0,7666449.0,4385865.0,6418946.0,1744748.0
77,21213826.0,6188704.0,6965335.0,485307.0,6750383.0,1816005.0,2370389.0,3189788.0,6951983.0,2994520.0,2958205.0,1296365.0
78,20770436.0,6294800.0,7325376.0,630502.0,7316502.0,2086240.0,2305851.0,2907645.0,8828031.0,3197403.0,3593082.0,1287791.0
79,21562808.0,6654027.0,7812277.0,609796.0,7825857.0,1496152.0,2480244.0,5692956.0,7864579.0,3519106.0,1101563.0,1221707.0
80,22203415.0,5984033.0,6981728.0,571156.0,8971746.0,1047820.0,2061356.0,2774658.0,6934140.0,5309435.0,7721559.0,1684220.0
81,15859253.0,4364749.0,5288354.0,375513.0,5037636.0,1337842.0,1463134.0,2144088.0,3502335.0,1745481.0,1254449.0,640245.0
82,23244328.0,6369249.0,7149599.0,545746.0,7997313.0,483227.0,3131480.0,3762433.0,5031000.0,3053062.0,2718736.0,1869049.0
83,19441605.0,6271436.0,7098091.0,612949.0,7703466.0,6740890.0,2538966.0,4572302.0,5657903.0,3201093.0,865445.0,943871.0
