label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
144,66214591.0,18356716.0,21931300.0,1757939.0,21647834.0,9509590.0,6692638.0,9054388.0,19608804.0,10414093.0,3258294.0,2716861.0
145,66144182.0,19667573.0,24166928.0,1797976.0,22302041.0,4163696.0,6861708.0,8270585.0,21335530.0,13237934.0,5436862.0,3348382.0
146,65361911.0,19661194.0,24959081.0,736509.0,24646023.0,4969549.0,7082823.0,8540830.0,20772877.0,12229355.0,10462419.0,3006050.0
147,75642457.0,18513320.0,24072283.0,1322449.0,22091371.0,4358913.0,6622827.0,7904103.0,19240315.0,9902763.0,7171554.0,2609386.0
148,66978507.0,18902857.0,24369073.0,1864195.0,22294422.0,5826276.0,6888201.0,8973942.0,16248692.0,8818860.0,5496469.0,3396857.0
149,54941926.0,16338549.0,20946232.0,1656286.0,19510308.0,4010471.0,6391927.0,8330700.0,21657048.0,8211288.0,5783325.0,2663379.0
150,82056666.0,16467546.0,20965652.0,1708104.0,21468770.0,7454284.0,8986970.0,8652306.0,17913630.0,9172855.0,3798500.0,3054506.0
151,73473406.0,18338636.0,23359636.0,2016659.0,21549820.0,4048000.0,7377761.0,8266411.0,17517618.0,11138060.0,9072398.0,2694762.0
152,77864332.0,18503056.0,23372361.0,2140720.0,21688184.0,4844836.0,7426985.0,8736533.0,17705120.0,11528601.0,8414370.0,2707223.0
153,69747148.0,18540942.0,24069145.0,1809174.0,24304795.0,8990466.0,6868952.0,9422614.0,16368596.0,9435240.0,3041111.0,2957589.0
154,61629106.0,18893581.0,22960076.0,1922074.0,23300849.0,5636244.0,8554645.0,8351127.0,19072455.0,9153750.0,6016692.0,2781257.0
155,66349497.0,18246684.0,21499994.0,1731817.0,21570214.0,7450699.0,7009561.0,9274963.0,15799686.0,10394248.0,3819387.0,4266795.0
156,33633621.0,10454452.0,12064969.0,750601.0,12568825.0,8055692.0,4145189.0,5946023.0,8165489.0,4049132.0,1924303.0,2312391.0
157,65221984.0,18570886.0,22480063.0,11964520.0,21842945.0,2488249.0,7390949.0,10116504.0,18679362.0,11727057.0,3250411.0,2996925.0
158,38052450.0,10341675.0,12322066.0,154293.0,12105164.0,2720249.0,5142854.0,5211588.0,12226791.0,6506448.0,3000630.0,1881407.0
159,73654816.0,20302315.0,25448958.0,2495266.0,23340078.0,4534038.0,7157842.0,9664603.0,22752758.0,11501407.0,8652312.0,2766269.0
160,76087112.0,19053548.0,24463254.0,2717730.0,22450266.0,2799780.0,7700793.0,8817815.0,22023831.0,13687576.0,8097616.0,3497703.0
161,57120023.0,14145790.0,18120931.0,5522720.0,15980215.0,3140233.0,6521236.0,7483740.0,11349603.0,5413460.0,1805224.0,2038442.0
162,61192775.0,19663388.0,24224466.0,2694733.0,24195025.0,13533387.0,8355989.0,12515827.0,16273879.0,7735233.0,1899439.0,2807712.0
163,60402910.0,18547729.0,21404554.0,1157810.0,21811207.0,20868081.0,11762764.0,12388608.0,14874032.0,8080514.0,2477029.0,3109479.0
164,40542879.0,10318494.0,11924594.0,11173669.0,10765465.0,1812092.0,3426689.0,6522925.0,8430251.0,4484824.0,1897649.0,1652181.0
165,66015772.0,19391932.0,23524812.0,2104291.0,21493864.0,10314780.0,6846727.0,9438700.0,23565884.0,9709431.0,4416149.0,2752749.0
166,73065574.0,19305652.0,23329894.0,10676476.0,21914003.0,7847172.0,6953124.0,10593607.0,15519729.0,7984322.0,3777955.0,2792994.0
167,61059683.0,19397752.0,23991187.0,1214174.0,23767933.0,18196621.0,8392836.0,11518561.0,13896458.0,6782750.0,2861248.0,2858859.0
168,75817303.0,20147711.0,25444960.0,1383242.0,25104795.0,22873284.0,7461903.0,13162335.0,14340555.0,8187794.0,2364373.0,4424133.0
169,73687332.0,18755069.0,24115457.0,1828083.0,23277911.0,5007396.0,7127057.0,10434006.0,13195726.0,8053322.0,2965800.0,4242909.0
170,70852160.0,18638412.0,24105182.0,2070215.0,21863695.0,3932256.0,7081537.0,14334296.0,14051510.0,7987979.0,3851612.0,2943089.0
171,70597860.0,18790490.0,24105390.0,2361999.0,22209391.0,4528722.0,7334776.0,14609604.0,14077613.0,8823046.0,4097033.0,2976957.0
172,75327655.0,19092899.0,24676762.0,762708.0,21776239.0,8276907.0,7922354.0,11330712.0,12924446.0,9164678.0,3039946.0,3639542.0
173,52802584.0,16081112.0,20001791.0,1421052.0,18373448.0,3727845.0,5259618.0,7161709.0,11485177.0,7242359.0,2855042.0,2207424.0
174,41288363.0,13763865.0,17030030.0,2088697.0,17496005.0,6949227.0,6501450.0,7090388.0,10463255.0,5143224.0,1724928.0,1867711.0
175,62540883.0,17528327.0,21723941.0,1540633.0,22299252.0,2812001.0,5768109.0,7383901.0,27727155.0,8680575.0,4855378.0,2256736.0
176,47950645.0,12847209.0,15574949.0,1164559.0,15452981.0,3471158.0,4450059.0,5785487.0,13009742.0,7141427.0,4579349.0,1978377.0
177,64251058.0,17609133.0,21791016.0,3733636.0,24764343.0,4942509.0,5792282.0,9093574.0,19848572.0,8164243.0,5433082.0,3949455.0
178,70211826.0,20164047.0,24700345.0,1936794.0,25334349.0,5614107.0,6916352.0,10931847.0,13844161.0,8967348.0,4568947.0,3402014.0
179,65715028.0,19646279.0,24098435.0,1828928.0,21570939.0,3753680.0,6777007.0,8984217.0,15298487.0,8071573.0,2921903.0,3802965.0
180,74332429.0,18019107.0,22877686.0,1983727.0,20718677.0,3873055.0,7768997.0,8272125.0,17195057.0,9592387.0,3793701.0,2740010.0
181,74750881.0,16243438.0,20770351.0,1773324.0,19476251.0,2493096.0,6680012.0,7938097.0,16963047.0,9143961.0,4143673.0,2541182.0
182,70023046.0,15173713.0,19286468.0,2309558.0,22070583.0,9645096.0,7402935.0,13519630.0,18725468.0,8059299.0,3439877.0,2633059.0
183,29737155.0,7041018.0,9578288.0,913477.0,10733441.0,6874634.0,3884253.0,4575674.0,6637188.0,3091266.0,739048.0,1188667.0
184,58253907.0,13279891.0,17115781.0,1135113.0,22635957.0,30403642.0,8570227.0,12537717.0,13869379.0,5211138.0,1715878.0,2682868.0
185,77125753.0,17835744.0,22649846.0,2072655.0,20077740.0,9882301.0,7385482.0,10522649.0,17683887.0,7985914.0,3390700.0,3428219.0
186,66371722.0,14756203.0,18971821.0,1836385.0,19043008.0,3447590.0,6343857.0,8405827.0,18390352.0,9261294.0,3149031.0,2764964.0
187,62500847.0,14029340.0,17963976.0,1439546.0,16961759.0,3352529.0,6023677.0,6845126.0,17041264.0,6861363.0,3692535.0,2156570.0
188,39539063.0,9216537.0,11947258.0,599587.0,11419307.0,1830290.0,4461607.0,4607762.0,8364550.0,5550354.0,1863958.0,2076514.0
189,66298212.0,19546779.0,24910156.0,2178638.0,22948115.0,3953730.0,6671421.0,8838112.0,17233687.0,9341013.0,3833262.0,2723838.0
190,64673398.0,18315552.0,23312485.0,2307952.0,19867377.0,14891361.0,7270402.0,9498672.0,13864489.0,7464758.0,3129094.0,2597572.0
191,72006201.0,16541044.0,21099067.0,4581179.0,20902328.0,5864957.0,7631734.0,8656686.0,18066491.0,6551677.0,3230892.0,2649538.0
192,64503035.0,14734875.0,19005975.0,1700437.0,18602623.0,3437214.0,6881650.0,10340141.0,16160287.0,5842497.0,2140919.0,3276304.0
193,71569237.0,17406146.0,22600930.0,2079492.0,20871785.0,4583768.0,7963518.0,8039812.0,19961080.0,7340429.0,3899417.0,3027882.0
194,68909380.0,18916072.0,24229174.0,2304713.0,22126066.0,5045463.0,6835822.0,10956679.0,18069353.0,10298659.0,7651173.0,3023912.0
195,66677894.0,18743110.0,23459553.0,1392661.0,21155719.0,12779631.0,7052190.0,8630788.0,15217973.0,9465217.0,3598143.0,2644818.0
196,61670898.0,17510651.0,22064570.0,1712582.0,21068899.0,3711176.0,6359096.0,7361520.0,16932762.0,9780009.0,4039635.0,2476196.0
197,57373612.0,16612016.0,20585306.0,913449.0,21077706.0,3430120.0,6325937.0,6878685.0,18692312.0,10078405.0,10771602.0,2875758.0
198,67965649.0,19703370.0,24841723.0,1457384.0,23011589.0,4432079.0,7658516.0,9791189.0,17177203.0,8530783.0,5392406.0,2400753.0
199,46995297.0,12713227.0,15910156.0,1018695.0,14506318.0,3603846.0,4485152.0,5770021.0,12206085.0,6952247.0,2615624.0,1534283.0
200,57272018.0,15590674.0,20001768.0,1530653.0,18981910.0,4460385.0,5891230.0,7478825.0,12712231.0,6980967.0,4875965.0,2143790.0
201,59913573.0,19363472.0,24587718.0,1838967.0,20192689.0,4808711.0,6403082.0,8075814.0,13804903.0,8076935.0,4382076.0,2578812.0
202,72894359.0,19999271.0,25249838.0,2705926.0,27551043.0,18016621.0,8263081.0,10350140.0,15715682.0,7321398.0,2638980.0,2544326.0
203,55834118.0,16823147.0,21378282.0,1718550.0,17963626.0,2406913.0,6180780.0,6757406.0,15237623.0,8550211.0,5732637.0,2372079.0
204,70071287.0,16470648.0,20836538.0,1866205.0,26756570.0,19638391.0,10049135.0,11890653.0,15767553.0,5599953.0,2050973.0,2684094.0
205,75544382.0,19833207.0,24775622.0,1845659.0,23806350.0,7887404.0,6660539.0,8829290.0,13450975.0,8233636.0,3411169.0,3488375.0
206,66430433.0,19568809.0,24371968.0,2301607.0,22514626.0,4485866.0,7678671.0,8627387.0,16832272.0,13016081.0,10086136.0,2662075.0
207,72742115.0,20365100.0,25131543.0,4360616.0,22058575.0,5485070.0,7011871.0,8597295.0,14633902.0,9560199.0,7249535.0,2762606.0
208,78583361.0,16781713.0,21145090.0,1900114.0,21919479.0,4887450.0,7945102.0,10801096.0,15477274.0,6792507.0,2865755.0,2741813.0
209,82017163.0,18921520.0,24498448.0,2127398.0,23177595.0,14226988.0,7320648.0,11263953.0,18467207.0,9270841.0,7255111.0,3002502.0
