label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
1,81.43587397045366,17.301477317296378,19.562818669107074,2.4816315858282127,42.60282389854883,0.31428944960125504,8.040658909661394,7.277552621257681,21.194143025232055,14.299516276637469,45.0057523859328,4.38357955288273
2,106.93819353299129,17.791671638229328,19.32979358071829,2.039613411287436,37.51771864932586,2.0416418088533588,9.614604462474645,8.865887125641331,25.72604701109653,8.212385156902517,51.27192459133755,8.521059539434434
3,87.81796690307328,15.01457840819543,14.925925925925926,0.0,25.04373522458629,0.06855791962174941,8.073286052009456,9.408983451536644,23.47911741528763,12.682427107959024,2.4164696611505123,2.8991331757289203
4,101.82000883392226,16.877650176678443,17.626987632508833,1.2714222614840989,35.78798586572438,5.7553003533568905,9.193242049469964,9.333701413427562,18.564929328621908,18.48498233215548,40.01258833922262,3.692137809187279
5,105.75628705786137,16.604784297689633,16.393580044980578,1.2242895113473726,21.819464322224494,0.005111429155591904,10.859333469638111,5.995910856675526,23.043549376405643,4.178286648947045,0.6806379063586179,13.094868125127785
6,80.9520352297072,18.37026898357534,22.324684598905023,0.0,22.702213758628897,8.202689835753391,9.286836467507737,8.912877886217567,20.720185670078553,7.094144251368721,11.347536300880742,2.857295881932873
7,85.56845425867508,17.654763406940063,19.954195583596213,2.0,22.085552050473186,8.168958990536277,9.046182965299684,7.972365930599369,31.42018927444795,19.26018927444795,31.761640378548897,2.8972870662460566
8,113.2159687773563,18.577728333819667,25.134009337613072,2.268930551502772,27.8422089290925,5.128063904289466,9.733914502480303,9.327473008462212,24.88543186460461,16.703457834840968,51.496060694484974,3.6065436241610738
9,113.71988795518207,15.046685340802988,16.0,2.0,26.094304388422035,3.957983193277311,10.865546218487395,8.0,19.80392156862745,10.857142857142858,28.566760037348274,2.3380018674136323
10,94.85606936416185,15.041040462427747,15.0,0.3895953757225434,27.17514450867052,0.05086705202312139,10.354335260115606,9.40635838150289,72.70867052023121,7.0,1.6098265895953756,26.83872832369942
11,102.06386049308479,18.28165965123271,21.171978352375227,2.0,37.39374624173181,1.1048707155742634,9.209380637402285,11.387853277209862,31.749609140108237,5.692844257366206,30.118941671677693,3.1301262778111845
12,142.47010773354913,19.298745637549946,22.134135855546003,2.6792018613120225,32.096100348996,5.776844873805068,11.246370947347124,9.237747205503009,39.42939153305346,11.581103636639522,64.19351575539932,8.096403823782307
13,114.89132553606238,16.017543859649123,18.227826510721247,2.0,23.43859649122807,2.5974658869395713,8.689571150097466,8.470760233918128,17.714668615984404,7.785575048732944,17.73635477582846,2.5255847953216373
14,72.06480585878127,17.194832112753904,19.056238772972225,2.677628851734144,28.70139560591405,4.105430426972503,9.13444797568053,12.631477131408042,37.55520243194694,5.9625535442863065,38.54138455160978,8.630233522177697
15,93.99862593806152,18.337807842722757,20.624669696649402,2.149772751294789,63.466335482507134,0.0351971250396364,19.713243843145545,8.904238452594862,22.5273226931614,25.176408413486946,53.47320579219956,6.20843462636085
16,104.86435109129313,17.653133067355082,19.190096221544238,0.0002346866932644919,24.980990377845576,2.142689509504811,15.651959633888758,10.427833841821169,13.244778221074865,10.569584604552922,20.564421497301105,4.736446843463976
17,104.6191102123357,20.49989888776542,26.24777553083923,3.651668351870576,29.78958543983822,6.646309403437816,11.359453993933267,9.646916076845299,30.014459049544996,11.453538928210314,44.60460060667341,4.649191102123357
19,93.81760153195563,18.839942551663608,22.015239767015082,2.0,31.279262746349637,3.7647809782175057,8.667836910556131,9.491741801643661,30.020505864517673,9.39288278943589,37.153035984999605,4.20729274714753
20,96.55325443786982,16.0,15.0,2.0,25.374260355029588,3.477810650887574,9.57914201183432,9.0,35.19304733727811,9.585059171597633,22.356508875739646,4.1109467455621305
21,96.45226956631686,18.831963585788344,22.86180300922999,0.08673662915665697,21.031988873435328,3.02200025287647,8.393475787078012,8.12353015551903,22.64774307750664,12.804020735870527,30.634593501074725,3.065242129219876
22,120.76934187390103,16.928095955790003,19.206229590555136,0.5457799547852299,35.55143180105501,0.0,11.17282089927154,6.91572469228837,23.111906556141673,14.233735242401407,26.837038432554635,10.108327053504144
23,77.10573630136986,17.960188356164384,20.72945205479452,2.601312785388128,38.54794520547945,4.2117579908675795,9.367294520547945,14.761986301369863,31.583333333333332,4.1923515981735155,56.84346461187214,9.960759132420092
24,92.0011366058109,19.406620728848477,25.394544292107692,0.0,23.41351140157704,3.2570149889891313,9.170206720181858,9.200326774170634,23.902678127441927,12.267670668466293,28.042693755771825,3.528663777793564
25,110.23585072515034,18.20392642377078,20.663424124513618,0.07366466218606296,25.37150689777149,0.7611425539441103,10.007251503360452,12.03342766183233,27.734789529536613,17.599310222851077,48.42925362575168,3.0664131588256103
26,85.37225861577897,15.46368555966961,16.958131586442608,2.0,24.023639988607233,4.378524636855596,8.939903161492452,8.032469381942466,15.857305610937056,4.437767017943606,2.324124181144973,2.324409000284819
27,119.42706393544383,14.559279950341402,16.0,2.0,27.17070142768467,2.595903165735568,10.031036623215394,8.0,35.20794537554314,11.54872749844817,28.330850403476102,3.0
28,113.60986371212864,20.015785861358957,24.298460633395432,2.2877733111089325,22.817727228159622,7.235317187959604,9.66535934895578,9.797725267183058,22.115599568585154,17.76625159329346,23.102068830277478,11.284733797431121
29,103.09903867650347,18.797451374916164,21.782249049854684,2.761904761904762,20.536105522021014,6.213503241672256,9.947462553096356,9.991504583053878,24.242566510172143,4.937402190923318,14.442432372009836,3.132349653476414
30,105.84465408805032,19.598034591194967,22.54677672955975,0.3137578616352201,20.972877358490567,5.853144654088051,10.35314465408805,10.209827044025158,11.887971698113208,3.250078616352201,41.45880503144654,8.83938679245283
31,109.57979199669398,18.93436187065225,25.38721675046491,2.0267924788208553,22.086162958881467,0.5925339210689441,10.439010951167436,9.007300778290515,26.245471451201873,19.2353467869688,29.707555616778016,4.588814656656795
32,105.09893249135469,19.920162381596754,26.133814463990376,2.0126296797474064,31.99639152007217,0.7403397985265374,10.016388513005563,11.947827394376786,34.79491805743497,20.22312434220418,35.812659750413474,5.171703503232597
33,102.60684624017958,19.330527497194165,23.450280583613917,2.2750841750841753,22.18372615039282,9.643434343434343,9.696071829405163,10.696071829405163,37.193153759820426,11.522446689113355,21.433557800224467,11.449382716049383
34,117.18032484311554,20.61890919158361,26.41016057585825,2.5241325212255443,36.69624400147656,6.790236249538575,8.876153562200074,10.490217792543374,26.677879291251383,12.137135474344777,46.812430786267996,6.519748984865264
35,94.58515316389655,19.100469553551463,26.110456883058806,2.215323842885891,24.05232168144891,6.681970634269956,9.283819035551911,13.073414325109935,22.963851829768206,16.662964895282105,39.54788700901841,6.549973913691585
